hour,timestamp,Tair_C,Tinternal_C,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name
12/21/23 20:00,2023-12-22T01:27:00Z,-8.771428571428572,-2.724285714285714,-8.527142857142858,-8.322857142857144,-8.314285714285715,-7.511428571428572,-8.242857142857144,-8.198571428571428,-7.3585714285714285,-5.011428571428572,1.4657142857142857,2.88,A4
12/21/23 21:00,2023-12-22T02:28:00Z,-9.925,-5.7575,-9.6575,-9.45375,-9.4625,-8.7675,-9.43,-9.36875,-8.4075,-5.703749999999999,1.4324999999999999,2.8449999999999998,A4
12/21/23 22:00,2023-12-22T03:28:17Z,-10.557142857142857,-7.6085714285714285,-10.134285714285715,-9.92,-9.92142857142857,-8.975714285714286,-9.894285714285715,-9.85,-8.911428571428571,-6.187142857142857,1.38,2.81,A4
12/21/23 23:00,2023-12-22T04:29:00Z,-11.0125,-8.633750000000001,-10.508750000000001,-10.315,-10.29875,-9.370000000000001,-10.29125,-10.2775,-9.375,-6.67375,1.38,2.81,A4
12/22/23 00:00,2023-12-22T05:29:17Z,-11.385714285714286,-9.304285714285715,-10.868571428571428,-10.662857142857144,-10.652857142857142,-9.768571428571429,-10.644285714285715,-10.59,-9.654285714285715,-6.848571428571429,1.34,2.8014285714285716,A4
12/22/23 01:00,2023-12-22T06:30:00Z,-11.6875,-9.775,-11.1575,-10.95375,-10.93875,-10.025,-10.93875,-10.8925,-10.00125,-7.21125,1.3025,2.7575,A4
12/22/23 02:00,2023-12-22T07:30:08Z,-11.957142857142857,-10.134285714285715,-11.42,-11.197142857142858,-11.188571428571429,-10.527142857142858,-11.17,-11.135714285714286,-10.188571428571429,-7.312857142857142,1.25,2.75,A4
12/22/23 03:00,2023-12-22T08:31:00Z,-12.075,-10.40875,-11.4775,-11.265,-11.25,-10.43875,-11.25,-11.2125,-10.3225,-7.525,1.2349999999999999,2.75,A4
12/22/23 04:00,2023-12-22T09:31:00Z,-11.9,-10.5,-11.314285714285715,-11.098571428571429,-11.107142857142858,-10.1,-11.107142857142858,-11.064285714285715,-10.161428571428571,-7.35,1.1985714285714286,2.6985714285714284,A4
12/22/23 05:00,2023-12-22T10:28:00Z,-11.985714285714286,-10.534285714285714,-11.42142857142857,-11.224285714285715,-11.224285714285715,-10.535714285714286,-11.198571428571428,-11.162857142857144,-10.207142857142857,-7.365714285714286,1.19,2.6814285714285715,A4
12/22/23 06:00,2023-12-22T11:28:00Z,-12.15,-10.65,-11.705,-11.50125,-11.48625,-10.52375,-11.43875,-11.39125,-10.4,-7.4325,1.1524999999999999,2.645,A4
12/22/23 07:00,2023-12-22T12:28:51Z,-12.314285714285715,-10.792857142857143,-11.538571428571428,-11.324285714285715,-11.314285714285715,-10.42142857142857,-11.305714285714286,-11.271428571428572,-10.331428571428571,-7.537142857142857,1.13,2.63,A4
12/22/23 08:00,2023-12-22T13:29:00Z,-11.8875,-10.68125,-11.18875,-10.9925,-10.985,-9.98625,-10.985,-10.955,-10.05,-7.36875,1.10375,2.63,A4
12/22/23 09:00,2023-12-22T14:29:42Z,-11.614285714285714,-10.5,-11.01,-10.804285714285715,-10.812857142857142,-9.911428571428571,-10.812857142857142,-10.777142857142858,-9.878571428571428,-7.188571428571429,1.07,2.58,A4
12/22/23 10:00,2023-12-22T15:30:00Z,-11.3125,-10.26625,-10.68,-10.50125,-10.502500000000001,-9.67125,-10.502500000000001,-10.477500000000001,-9.594999999999999,-7.01,1.06,2.56,A4
12/22/23 11:00,2023-12-22T16:30:34Z,-11.128571428571428,-10.054285714285715,-10.481428571428571,-10.305714285714286,-10.324285714285715,-9.617142857142857,-10.278571428571428,-10.215714285714286,-9.057142857142857,-5.5442857142857145,1.06,2.5514285714285716,A4
12/22/23 12:00,2023-12-22T17:31:00Z,-10.8375,-9.7975,-10.1575,-9.96875,-9.96875,-9.00375,-9.915,-9.815,-8.60125,-4.79875,1.0225,2.5,A4
12/22/23 13:00,2023-12-22T18:31:25Z,-9.485714285714286,-8.84,-8.878571428571428,-8.547142857142857,-8.554285714285715,-7.491428571428571,-8.322857142857142,-8.205714285714286,-7.152857142857143,-3.8128571428571427,1,2.5,A4
12/22/23 14:00,2023-12-22T19:28:00Z,-7.228571428571429,-6.714285714285714,-6.4471428571428575,-5.975714285714286,-6.081428571428571,-4.838571428571428,-5.678571428571429,-5.615714285714286,-4.795714285714285,-2.6157142857142857,0.9914285714285714,2.4828571428571427,A4
12/22/23 15:00,2023-12-22T20:28:37Z,-4.675,-3.55625,-4.48625,-3.65,-3.73625,-2.36,-3.11875,-2.9725,-2.5012499999999998,-1.315,0.97,2.44,A4
12/22/23 16:00,2023-12-22T21:29:08Z,-2.7142857142857144,0.1271428571428571,-2.2342857142857144,-1.4028571428571428,-1.3571428571428572,0.6971428571428572,-0.6171428571428571,-0.48142857142857143,-0.24285714285714283,-0.04428571428571428,0.9657142857142856,2.44,A4
12/22/23 17:00,2023-12-22T22:30:00Z,-1.5375,4.4225,-1.50875,-0.9099999999999999,-1.00125,0.5475,-0.48250000000000004,-0.41625,-0.1875,-0.039999999999999994,1.0787499999999999,2.44,A4
12/22/23 18:00,2023-12-22T23:31:00Z,-1.7714285714285714,5.4471428571428575,-1.4828571428571429,-0.9571428571428571,-1.2342857142857142,0.32285714285714284,-0.8757142857142857,-0.8385714285714285,-0.5814285714285714,-0.2842857142857143,1.052857142857143,2.3885714285714283,A4
12/22/23 19:00,2023-12-23T00:27:51Z,-2.414285714285714,5.215714285714286,-2.072857142857143,-1.8499999999999999,-1.9657142857142857,-0.6714285714285715,-1.6185714285714285,-1.5471428571428572,-1.2242857142857142,-0.6814285714285714,1.0271428571428571,2.38,A4
12/22/23 20:00,2023-12-23T01:28:37Z,-3.6625,2.90875,-3.72875,-3.53125,-3.6125,-2.61,-3.6125,-3.6275,-3.04,-1.6275,0.9249999999999999,2.3625,A4
12/22/23 21:00,2023-12-23T02:29:17Z,-5.042857142857143,-0.4828571428571429,-5.02,-4.958571428571428,-5.062857142857143,-4.18,-5.188571428571429,-5.137142857142857,-4.377142857142857,-2.4585714285714286,0.8971428571428571,2.32,A4
12/22/23 22:00,2023-12-23T03:30:00Z,-5.8875,-2.6975,-5.80625,-5.79875,-5.9075,-5.33,-6.0475,-6.06375,-5.33625,-3.29,0.8875,2.31875,A4
12/22/23 23:00,2023-12-23T04:30:51Z,-6.557142857142857,-4.1085714285714285,-6.287142857142857,-6.305714285714286,-6.438571428571429,-5.51,-6.5285714285714285,-6.59,-5.848571428571429,-3.7157142857142857,0.88,2.31,A4
12/23/23 00:00,2023-12-23T05:27:08Z,-6.828571428571428,-4.93,-6.698571428571428,-6.751428571428572,-6.901428571428571,-5.877142857142857,-7.018571428571429,-6.9557142857142855,-6.1085714285714285,-3.8314285714285714,0.88,2.31,A4
12/23/23 01:00,2023-12-23T06:28:00Z,-7.1375,-5.58,-6.7975,-6.85375,-6.9925,-6.37625,-7.10375,-7.08,-6.2825,-3.96875,0.88,2.295,A4
12/23/23 02:00,2023-12-23T07:28:25Z,-7.157142857142857,-5.85,-6.9471428571428575,-6.964285714285714,-7.074285714285714,-6.392857142857143,-7.188571428571429,-7.154285714285715,-6.377142857142857,-4.1,0.88,2.25,A4
12/23/23 03:00,2023-12-23T08:29:00Z,-6.9125000000000005,-5.9775,-6.625,-6.79,-6.9475,-6.31375,-7.12625,-7.0875,-6.275,-4,0.88,2.25,A4
12/23/23 04:00,2023-12-23T09:29:42Z,-6.928571428571429,-6.051428571428571,-6.805714285714286,-6.93,-7.072857142857143,-6.312857142857143,-7.224285714285714,-7.224285714285714,-6.43,-4.154285714285714,0.87,2.25,A4
12/23/23 05:00,2023-12-23T10:30:00Z,-7.1125,-6.08625,-6.87625,-7.01,-7.1975,-6.47,-7.34375,-7.3125,-6.47,-4.15875,0.8275,2.25,A4
12/23/23 06:00,2023-12-23T11:31:00Z,-7.257142857142857,-6.224285714285714,-7.002857142857143,-7.101428571428571,-7.305714285714286,-6.644285714285714,-7.448571428571428,-7.394285714285714,-6.535714285714286,-4.215714285714286,0.81,2.2328571428571427,A4
12/23/23 07:00,2023-12-23T12:27:08Z,-7.242857142857143,-6.292857142857143,-6.957142857142857,-7.072857142857143,-7.234285714285714,-6.457142857142857,-7.3585714285714285,-7.295714285714285,-6.482857142857143,-4.207142857142857,0.81,2.2071428571428573,A4
12/23/23 08:00,2023-12-23T13:28:00Z,-7.0875,-6.302499999999999,-6.79125,-6.9075,-7.0875,-6.32875,-7.18,-7.13375,-6.29875,-4.04,0.81,2.19,A4
12/23/23 09:00,2023-12-23T14:28:25Z,-7.114285714285714,-6.241428571428571,-6.767142857142857,-6.874285714285714,-7.0285714285714285,-6.251428571428572,-7.1257142857142854,-7.117142857142857,-6.357142857142857,-4.161428571428571,0.81,2.19,A4
12/23/23 10:00,2023-12-23T15:29:00Z,-6.75,-6.08,-6.45375,-6.58625,-6.75125,-5.98625,-6.875,-6.86125,-6.105,-4.03125,0.81,2.175,A4
12/23/23 11:00,2023-12-23T16:29:42Z,-6.442857142857143,-5.814285714285714,-5.984285714285714,-6.017142857142857,-6.164285714285715,-5.0285714285714285,-6.207142857142857,-6.2057142857142855,-5.43,-3.527142857142857,0.7757142857142857,2.1385714285714283,A4
12/23/23 12:00,2023-12-23T17:30:00Z,-6.175,-5.37625,-5.47625,-5.33875,-5.36875,-4.5725,-5.2675,-5.275,-4.547499999999999,-2.8925,0.765,2.13,A4
12/23/23 13:00,2023-12-23T18:31:00Z,-5.542857142857143,-4.644285714285714,-4.895714285714286,-4.68,-4.6971428571428575,-3.25,-4.59,-4.562857142857142,-3.8857142857142857,-2.3042857142857143,0.75,2.13,A4
12/23/23 14:00,2023-12-23T19:27:17Z,-4.985714285714286,-3.867142857142857,-4.322857142857143,-4.115714285714286,-4.098571428571429,-2.9485714285714284,-4.018571428571429,-3.9842857142857144,-3.3314285714285714,-1.937142857142857,0.75,2.13,A4
12/23/23 15:00,2023-12-23T20:28:00Z,-4.1625,-2.8225,-3.54625,-3.32875,-3.36,-2.065,-3.20375,-3.16625,-2.5575,-1.3925,0.75,2.10375,A4
