hour,timestamp,Tair_C,Tinternal_C,T100_C,T50_C,T25_C,T10_C,T5_C,T0_C,T5s_C,T10s_C,T25s_C,T50s_C,Site_Name
12/19/23 01:00,2023-12-19T06:28:00Z,4.371428571428571,6.902857142857143,4.938571428571429,4.225714285714286,4.44,4.484285714285714,4.4314285714285715,4.717142857142857,4.841428571428572,5.287142857142857,5.8028571428571425,5.63,E1
12/19/23 02:00,2023-12-19T07:28:45Z,4.2,6.345,4.93125,4.635,4.60375,4.595,4.5325,4.72625,4.86875,5.165,5.6675,5.595,E1
12/19/23 03:00,2023-12-19T08:29:00Z,3.8,5.93,4.501428571428571,4.057142857142857,4.2057142857142855,4.117142857142857,4.082857142857143,4.322857142857143,4.491428571428571,4.887142857142857,5.561428571428571,5.56,E1
12/19/23 04:00,2023-12-19T09:29:37Z,3.5125,5.47,3.79,3.16375,3.485,3.4225,3.44625,3.6262499999999998,3.79,4.445,5.4775,5.529999999999999,E1
12/19/23 05:00,2023-12-19T10:30:00Z,2.8857142857142857,4.928571428571429,3.242857142857143,2.44,2.86,2.8314285714285714,2.9114285714285715,3.0542857142857143,3.2157142857142857,3.9314285714285715,5.377142857142857,5.5,E1
12/19/23 06:00,2023-12-19T11:30:15Z,2.7,4.5625,3.3449999999999998,2.89125,3.05,3.08,3.0875,3.2199999999999998,3.3137499999999998,3.7725,5.235,5.4925,E1
12/19/23 07:00,2023-12-19T12:31:00Z,2.2285714285714286,4.331428571428572,2.875714285714286,2.5814285714285714,2.642857142857143,2.7071428571428573,2.67,2.787142857142857,2.9842857142857144,3.662857142857143,5.1,5.474285714285714,E1
12/19/23 08:00,2023-12-19T13:31:00Z,1.2375,3.6975,1.315,0.845,1.01,1.1087500000000001,1.04875,1.23625,1.65875,3.0725,5.015,5.4775,E1
12/19/23 09:00,2023-12-19T14:31:42Z,0.05714285714285714,2.68,0.43,-0.018571428571428572,0.09857142857142857,0.16,0.09857142857142857,0.29714285714285715,0.77,2.412857142857143,4.885714285714286,5.465714285714286,E1
12/19/23 10:00,2023-12-19T15:28:00Z,0.4714285714285714,2.2928571428571427,1.2157142857142857,0.6985714285714286,0.9128571428571428,1.0271428571428571,0.94,1.1157142857142857,1.4028571428571428,2.3685714285714283,4.6814285714285715,5.44,E1
12/19/23 11:00,2023-12-19T16:28:00Z,0.1,2.055,0.125,-0.345,-0.095,-0.01625,-0.0725,0.095,0.49375,1.96875,4.56375,5.4325,E1
12/19/23 12:00,2023-12-19T17:28:51Z,-0.37142857142857144,1.5542857142857143,0.17142857142857143,-0.1514285714285714,-0.037142857142857144,0.017142857142857144,-0.06285714285714286,0.11714285714285715,0.52,1.7685714285714285,4.4314285714285715,5.414285714285715,E1
12/19/23 13:00,2023-12-19T18:29:00Z,-0.3375,1.4925,-0.048749999999999995,-0.385,-0.26875,-0.1875,-0.2675,-0.08625,0.29000000000000004,1.625,4.2725,5.41,E1
12/19/23 14:00,2023-12-19T19:29:00Z,0.32857142857142857,1.812857142857143,0.7071428571428572,0.07285714285714286,0.5114285714285715,0.6257142857142857,0.5542857142857143,0.6714285714285715,0.8957142857142857,1.7428571428571429,4.147142857142857,5.4228571428571435,E1
12/19/23 15:00,2023-12-19T20:29:45Z,1,2.65875,2.03375,1.8599999999999999,1.7675,1.835,1.775,1.8387499999999999,1.99375,2.275,4.0375,5.38,E1
12/19/23 16:00,2023-12-19T21:30:00Z,1.6714285714285715,3.8585714285714285,3.4757142857142855,4.787142857142857,3.4214285714285713,3.4114285714285715,3.3585714285714285,3.322857142857143,3.5557142857142856,3.58,4,5.359999999999999,E1
12/19/23 17:00,2023-12-19T22:30:22Z,2.1875,5.385,3.52375,4.26,3.345,3.26,3.23625,3.25875,3.63375,4.445,4.095,5.302499999999999,E1
12/19/23 18:00,2023-12-19T23:31:00Z,1.2,4.804285714285714,2.467142857142857,2.912857142857143,2.2857142857142856,2.25,2.224285714285714,2.341428571428571,2.724285714285714,3.912857142857143,4.321428571428571,5.31,E1
12/19/23 19:00,2023-12-20T00:31:00Z,0.7375,3.94625,1.75125,1.79875,1.4637499999999999,1.44625,1.43125,1.555,1.9849999999999999,3.36875,4.4625,5.31,E1
12/19/23 20:00,2023-12-20T01:32:00Z,-0.7714285714285715,2.7514285714285713,0.06142857142857143,0.027142857142857142,-0.2342857142857143,-0.22571428571428573,-0.31285714285714283,-0.09857142857142857,0.4742857142857143,2.412857142857143,4.465714285714286,5.31,E1
12/19/23 21:00,2023-12-20T02:28:00Z,-1.9,1.4828571428571429,-0.9914285714285714,-0.8928571428571429,-1.2514285714285713,-1.2514285714285713,-1.3414285714285714,-1.1257142857142857,-0.5114285714285715,1.8228571428571427,4.35,5.33,E1
12/19/23 22:00,2023-12-20T03:28:00Z,-2.925,0.2575,-1.845,-1.7374999999999998,-2.0475,-2.025,-2.1175,-1.8912499999999999,-1.2662499999999999,1.21125,4.2275,5.31,E1
