hour,timestamp,Tair_C,Tinternal_C,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name,T100_C,T50_C,T25_C,T5s_C,T10s_C,T25s_C,T50s_C
11/17/23 19:00,2023-11-18T00:57:00Z,8,9.64,8.25,8.3275,8.13,9.265,7.94,7.75,7.75,7.41,6.279999999999999,5.970000000000001,A4,NA,NA,NA,NA,NA,NA,NA
11/17/23 20:00,2023-11-18T01:30:37Z,7.6125,10.7425,7.72,7.71125,7.56375,7.69,7.21125,7.0175,7.0325,6.9075,6.19375,5.970000000000001,A4,NA,NA,NA,NA,NA,NA,NA
11/17/23 21:00,2023-11-18T02:31:42Z,6.642857142857143,9.474285714285715,7.1,7.001428571428572,7,7.154285714285714,6.411428571428571,6.161428571428571,6.2057142857142855,6.162857142857143,6.13,5.991428571428571,A4,NA,NA,NA,NA,NA,NA,NA
11/17/23 22:00,2023-11-18T03:28:42Z,6.728571428571429,8.708571428571428,7.545714285714285,7.411428571428572,7.322857142857143,7.805714285714286,6.78,6.5285714285714285,6.457142857142857,6.054285714285714,6.201428571428571,6,A4,NA,NA,NA,NA,NA,NA,NA
11/17/23 23:00,2023-11-18T04:29:37Z,7.3125,8.68875,7.52625,7.56375,7.5225,7.9225,7.19,7.016249999999999,7.04,6.4775,6.1975,6.029999999999999,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 00:00,2023-11-18T05:30:42Z,6.742857142857143,8.448571428571428,7.207142857142857,7.25,7.2628571428571425,7.654285714285715,6.930000000000001,6.775714285714286,6.87,6.491428571428571,6.171428571428572,6.06,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 01:00,2023-11-18T06:27:34Z,6.914285714285715,8.37857142857143,7.485714285714286,7.5200000000000005,7.401428571428571,8.018571428571429,7.161428571428571,7.002857142857143,7.072857142857143,6.632857142857143,6.26,6.069999999999999,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 02:00,2023-11-18T07:28:37Z,7.45,8.55,7.845,7.92375,7.78875,8.12625,7.58625,7.43125,7.47,6.86125,6.311249999999999,6.12125,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 03:00,2023-11-18T08:29:42Z,7.428571428571429,8.698571428571428,7.921428571428572,7.974285714285714,7.84,8.252857142857144,7.644285714285714,7.491428571428571,7.527142857142857,6.948571428571428,6.359999999999999,6.13,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 04:00,2023-11-18T09:30:37Z,7.6,8.85375,8.196250000000001,8.2675,8.1575,8.696250000000001,7.970000000000001,7.82,7.8275,7.06625,6.2875,6.1375,A4,NA,NA,NA,NA,NA,NA,NA
11/18/23 05:00,2023-11-18T10:31:42Z,7.785714285714286,9.062857142857144,8.411428571428571,8.484285714285715,8.367142857142857,8.912857142857144,8.17,8.001428571428573,8.001428571428573,7.035714285714286,6.304285714285714,6.1814285714285715,A4,NA,NA,NA,NA,NA,NA,NA
